matchId,teamId,queueId,patch,gameDuration,role,championId,win,ally1,ally2,ally3,ally4,enemy1,enemy2,enemy3,enemy4,enemy5
EUW1_7599890620,200,420,15.22,1438,TOP,Garen,0,Taliyah,Ryze,Caitlyn,Nautilus,Gnar,Diana,Yasuo,Ashe,Rakan
EUW1_7599890620,200,420,15.22,1438,JUNGLE,Taliyah,0,Garen,Ryze,Caitlyn,Nautilus,Gnar,Diana,Yasuo,Ashe,Rakan
EUW1_7599890620,200,420,15.22,1438,MIDDLE,Ryze,0,Garen,Taliyah,Caitlyn,Nautilus,Gnar,Diana,Yasuo,Ashe,Rakan
EUW1_7599890620,200,420,15.22,1438,BOTTOM,Caitlyn,0,Garen,Taliyah,Ryze,Nautilus,Gnar,Diana,Yasuo,Ashe,Rakan
EUW1_7599890620,200,420,15.22,1438,UTILITY,Nautilus,0,Garen,Taliyah,Ryze,Caitlyn,Gnar,Diana,Yasuo,Ashe,Rakan
EUW1_7599846073,100,420,15.22,2151,TOP,Gragas,1,Nocturne,Zilean,Aphelios,Karma,Garen,JarvanIV,Vladimir,Lucian,Nami
EUW1_7599846073,100,420,15.22,2151,JUNGLE,Nocturne,1,Gragas,Zilean,Aphelios,Karma,Garen,JarvanIV,Vladimir,Lucian,Nami
EUW1_7599846073,100,420,15.22,2151,MIDDLE,Zilean,1,Gragas,Nocturne,Aphelios,Karma,Garen,JarvanIV,Vladimir,Lucian,Nami
EUW1_7599846073,100,420,15.22,2151,BOTTOM,Aphelios,1,Gragas,Nocturne,Zilean,Karma,Garen,JarvanIV,Vladimir,Lucian,Nami
EUW1_7599846073,100,420,15.22,2151,UTILITY,Karma,1,Gragas,Nocturne,Zilean,Aphelios,Garen,JarvanIV,Vladimir,Lucian,Nami
EUW1_7599846073,200,420,15.22,2151,TOP,Garen,0,JarvanIV,Vladimir,Lucian,Nami,Gragas,Nocturne,Zilean,Aphelios,Karma
EUW1_7599846073,200,420,15.22,2151,JUNGLE,JarvanIV,0,Garen,Vladimir,Lucian,Nami,Gragas,Nocturne,Zilean,Aphelios,Karma
EUW1_7599846073,200,420,15.22,2151,MIDDLE,Vladimir,0,Garen,JarvanIV,Lucian,Nami,Gragas,Nocturne,Zilean,Aphelios,Karma
EUW1_7599846073,200,420,15.22,2151,BOTTOM,Lucian,0,Garen,JarvanIV,Vladimir,Nami,Gragas,Nocturne,Zilean,Aphelios,Karma
EUW1_7599846073,200,420,15.22,2151,UTILITY,Nami,0,Garen,JarvanIV,Vladimir,Lucian,Gragas,Nocturne,Zilean,Aphelios,Karma
EUW1_7599809744,100,420,15.22,2008,TOP,Sion,1,Qiyana,Xerath,Jinx,Neeko,Jax,Sylas,Smolder,Caitlyn,Nautilus
EUW1_7599809744,100,420,15.22,2008,JUNGLE,Qiyana,1,Sion,Xerath,Jinx,Neeko,Jax,Sylas,Smolder,Caitlyn,Nautilus
EUW1_7599809744,100,420,15.22,2008,MIDDLE,Xerath,1,Sion,Qiyana,Jinx,Neeko,Jax,Sylas,Smolder,Caitlyn,Nautilus
